date,competition_type,competition,netherlands_score,opponent_score,opponent,result,points_before_match,points_after_match,point_difference
12 Dec 2025,FIH Pro League,2025-26 FIH Hockey Pro League (W),5,1,Germany,Win,3809.84,3809.84,0
11 Dec 2025,FIH Pro League,2025-26 FIH Hockey Pro League (W),4,0,Argentina,Win,3781.77,3809.83,28.06
09 Dec 2025,FIH Pro League,2025-26 FIH Hockey Pro League (W),2,0,Germany,Win,3781.77,3781.77,0
17 Aug 2025,Continental Championship,EuroHockey Championship 2025 Women,2,1,Germany,Win,3781.77,3781.77,0
15 Aug 2025,Continental Championship,EuroHockey Championship 2025 Women,3,1,Spain,Win,3781.77,3781.77,0
13 Aug 2025,Continental Championship,EuroHockey Championship 2025 Women,6,0,France,Win,3781.77,3781.77,0
11 Aug 2025,Continental Championship,EuroHockey Championship 2025 Women,5,1,Germany,Win,3781.77,3781.77,0
09 Aug 2025,Continental Championship,EuroHockey Championship 2025 Women,2,0,Ireland,Win,3781.77,3781.77,0
29 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),2,2,Belgium,Shootout Win,3772.70,3781.77,9.07
28 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),2,0,Belgium,Win,3752.53,3772.69,20.16
15 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),3,1,China,Win,3748.49,3752.5299999999997,4.04
14 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),3,1,China,Win,3743.99,3748.4799999999996,4.49
12 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),11,2,Spain,Win,3743.99,3743.99,0
11 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),3,2,Spain,Win,3743.99,3743.99,0
08 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),5,1,Australia,Win,3741.41,3743.98,2.57
07 Jun 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),8,1,Australia,Win,3738.55,3741.4100000000003,2.86
25 Feb 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),2,2,India,Shootout Lose,3788.55,3729.8700000000003,-58.68
24 Feb 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),4,2,India,Win,3788.55,3788.55,0
22 Feb 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),6,0,England,Win,3788.55,3788.55,0
21 Feb 2025,FIH Pro League,2024-25 FIH Hockey Pro League (W),5,1,England,Win,3788.55,3788.55,0
15 Dec 2024,FIH Pro League,2024-25 FIH Hockey Pro League (W),2,3,Argentina,Lose,3871.07,3788.55,-82.52
14 Dec 2024,FIH Pro League,2024-25 FIH Hockey Pro League (W),4,1,Germany,Win,3866.87,3871.0699999999997,4.20
12 Dec 2024,FIH Pro League,2024-25 FIH Hockey Pro League (W),3,2,Argentina,Win,3845.36,3866.8700000000003,21.51
11 Dec 2024,FIH Pro League,2024-25 FIH Hockey Pro League (W),6,1,Germany,Win,3841.34,3845.3500000000004,4.01
09 Aug 2024,Olympic Games,2024 Olympic Games (W),1,1,China,Shootout Win,3841.34,3841.34,0
07 Aug 2024,Olympic Games,2024 Olympic Games (W),3,0,Argentina,Win,3794.70,3841.3399999999997,46.64
05 Aug 2024,Olympic Games,2024 Olympic Games (W),3,1,Great Britain,Win,3794.70,3794.7,0
03 Aug 2024,Olympic Games,2024 Olympic Games (W),5,1,Japan,Win,3794.70,3794.7,0
02 Aug 2024,Olympic Games,2024 Olympic Games (W),3,1,Belgium,Win,3766.66,3794.69,28.03
31 Jul 2024,Olympic Games,2024 Olympic Games (W),3,0,China,Win,3766.66,3766.66,0
29 Jul 2024,Olympic Games,2024 Olympic Games (W),2,1,Germany,Win,3734.25,3766.65,32.40
27 Jul 2024,Olympic Games,2024 Olympic Games (W),6,2,France,Win,3734.25,3734.25,0
16 Jul 2024,FIH Approved Matches,2024 Test Matches NED v JPN (W),6,1,Japan,Win,3734.25,3734.25,0
14 Jul 2024,FIH Approved Matches,2024 Test Matches NED v JPN (W),13,1,Japan,Win,3734.25,3734.25,0
29 Jun 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),1,0,Germany,Win,3717.59,3734.2400000000002,16.65
28 Jun 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),2,1,Belgium,Win,3701.21,3717.59,16.38
24 Jun 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),1,2,Belgium,Lose,3795.19,3701.2200000000003,-93.97
22 Jun 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),4,0,Germany,Win,3783.05,3795.19,12.14
18 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),3,1,Australia,Win,3772.21,3783.04,10.83
15 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),4,2,China,Win,3772.21,3772.21,0
14 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),1,0,India,Win,3772.21,3772.21,0
12 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),4,0,United States,Win,3772.21,3772.21,0
09 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),6,2,Australia,Win,3757.10,3772.21,15.11
06 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),3,1,China,Win,3757.10,3757.1,0
04 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),3,1,India,Win,3757.10,3757.1,0
03 Feb 2024,FIH Pro League,2023-24 FIH Hockey Pro League (W),7,0,United States,Win,3757.10,3757.1,0
11 Dec 2023,FIH Pro League,2023-24 FIH Hockey Pro League (W),7,1,Argentina,Win,3740.10,3757.0899999999997,16.99
10 Dec 2023,FIH Pro League,2023-24 FIH Hockey Pro League (W),5,1,Great Britain,Win,3740.10,3740.1,0
08 Dec 2023,FIH Pro League,2023-24 FIH Hockey Pro League (W),4,1,Argentina,Win,3722.40,3740.1,17.70
